ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘
2026070502010805,1,07050048,5,      13125,   1.9,   3.6,   4.1,   7.7,   9.6
2026070502010805,1,07050056,5,      13229,   2.0,   3.6,   4.1,   7.8,   9.6
2026070502010805,1,07050104,5,      13387,   2.0,   3.5,   4.1,   7.8,   9.5
2026070502010805,1,07050113,5,      13658,   2.0,   3.6,   3.9,   7.7,   9.6
2026070502010805,1,07050121,5,      13759,   2.0,   3.6,   3.9,   7.7,   9.7
2026070502010805,1,07050129,5,      13874,   2.0,   3.5,   3.9,   7.7,   9.7
2026070502010805,1,07050137,5,      13992,   2.0,   3.5,   3.9,   7.7,   9.7
2026070502010805,1,07050146,5,      14053,   2.0,   3.5,   3.9,   7.7,   9.6
2026070502010805,1,07050154,5,      15243,   1.8,   3.7,   4.1,   8.3,  10.3
2026070502010805,1,07050202,5,      15317,   1.8,   3.8,   4.1,   8.3,  10.3
2026070502010805,1,07050210,5,      15536,   1.8,   3.7,   4.2,   8.4,  10.0
2026070502010805,1,07050219,5,      15667,   1.8,   3.7,   4.2,   8.4,  10.0
2026070502010805,1,07050227,5,      20759,   1.4,   4.9,   5.5,  11.2,  13.0
2026070502010805,1,07050235,5,      20855,   1.4,   4.8,   5.6,  11.2,  13.0
2026070502010805,1,07050243,5,      20901,   1.4,   4.8,   5.6,  11.2,  13.0
2026070502010805,1,07050252,5,      21026,   1.4,   4.8,   5.6,  10.5,  13.1
2026070502010805,1,07050300,5,      22008,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050308,5,      22086,   1.4,   5.0,   5.8,   7.0,  13.6
2026070502010805,1,07050316,5,      22146,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050325,5,      22166,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050333,5,      22237,   1.5,   5.0,   5.8,   7.0,  13.4
2026070502010805,1,07050341,5,      22306,   1.5,   5.0,   5.7,   7.0,  13.4
2026070502010805,1,07050349,5,      22509,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050358,5,      22533,   1.5,   5.0,   5.8,   7.0,  13.4
2026070502010805,1,07050406,5,      22661,   1.5,   5.0,   5.8,   7.0,  13.4
2026070502010805,1,07050414,5,      22686,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050422,5,      22835,   1.5,   5.0,   5.8,   7.0,  13.5
2026070502010805,1,07050431,5,      22920,   1.5,   5.0,   5.7,   7.1,  13.5
2026070502010805,1,07050439,5,      23028,   1.5,   5.0,   5.6,   7.1,  13.5
2026070502010805,1,07050447,5,      23112,   1.5,   4.9,   5.6,   7.1,  13.5
2026070502010805,1,07050455,5,      23199,   1.5,   4.9,   5.7,   7.1,  13.5
2026070502010805,1,07050504,5,      23271,   1.5,   4.9,   5.7,   7.1,  13.4
2026070502010805,1,07050512,5,      23397,   1.5,   4.8,   5.7,   7.1,  13.4
2026070502010805,1,07050520,5,      23493,   1.5,   4.8,   5.6,   7.1,  13.3
2026070502010805,1,07050528,5,      23604,   1.5,   4.8,   5.6,   7.1,  13.3
2026070502010805,1,07050537,5,      23671,   1.5,   4.8,   5.6,   7.1,  13.3
2026070502010805,1,07050545,5,      23999,   1.5,   4.8,   5.7,   7.2,  13.2
2026070502010805,1,07050553,5,      24128,   1.5,   4.8,   5.7,   7.2,  13.1
2026070502010805,1,07050601,5,      24381,   1.5,   4.7,   5.7,   7.2,  13.0
2026070502010805,1,07050610,5,      24540,   1.5,   4.7,   5.7,   7.3,  13.0
2026070502010805,1,07050618,5,      24776,   1.5,   4.7,   5.7,   7.3,  12.6
2026070502010805,1,07050626,5,      25015,   1.5,   4.6,   5.7,   7.2,  12.5
2026070502010805,1,07050634,5,      25512,   1.5,   4.6,   5.7,   7.3,  12.5
2026070502010805,1,07050643,5,      25774,   1.5,   4.6,   5.6,   7.4,  12.5
2026070502010805,1,07050651,5,      26024,   1.5,   4.5,   5.6,   7.4,  12.3
2026070502010805,1,07050659,5,      26350,   1.5,   4.5,   5.7,   7.4,  11.9
2026070502010805,1,07050708,5,      26855,   1.5,   4.4,   5.7,   7.4,  11.3
2026070502010805,1,07050716,5,      27381,   1.5,   4.4,   5.8,   7.5,  10.8
2026070502010805,1,07050724,5,      27911,   1.6,   4.3,   5.7,   7.5,  10.7
2026070502010805,1,07050732,5,      28378,   1.6,   4.3,   5.7,   7.5,  10.7
2026070502010805,1,07050741,5,      29112,   1.6,   4.3,   5.6,   7.4,  10.5
2026070502010805,1,07050749,5,      29559,   1.6,   4.3,   5.6,   7.5,  10.6
2026070502010805,1,07050757,5,      30426,   1.6,   4.2,   5.5,   7.5,  10.6
2026070502010805,1,07050805,5,      30965,   1.6,   4.2,   5.5,   7.5,  10.2
2026070502010805,1,07050814,5,      32089,   1.6,   4.1,   5.5,   7.6,  10.2
2026070502010805,1,07050822,5,      32981,   1.6,   4.0,   5.4,   7.6,  10.2
2026070502010805,1,07050830,5,      33690,   1.7,   3.9,   5.4,   7.7,  10.3
2026070502010805,1,07050839,5,      45822,   1.3,   4.9,   7.2,  10.3,  13.6
2026070502010805,1,07050847,5,      46580,   1.3,   4.9,   7.1,  10.3,  12.8
2026070502010805,1,07050855,5,      48036,   1.3,   4.8,   7.0,  10.4,  12.7
2026070502010805,1,07050903,5,      48905,   1.3,   4.7,   7.0,  10.1,  12.7
2026070502010805,1,07050912,5,      50507,   1.4,   4.5,   7.0,  10.1,  12.3
2026070502010805,1,07050920,5,      51337,   1.4,   4.5,   6.9,   9.9,  12.1
2026070502010805,1,07050928,5,      53114,   1.4,   4.4,   6.5,  10.0,  11.8
2026070502010805,1,07050936,5,      55307,   1.4,   4.3,   6.5,   9.9,  11.8
2026070502010805,1,07050945,5,      58290,   1.5,   4.2,   6.2,   9.9,  11.5
2026070502010805,1,07050952,5,      60421,   1.5,   4.1,   6.1,  10.0,  11.5
2026070502010805,1,07051000,5,      63476,   1.5,   4.0,   6.2,  10.3,  11.4
2026070502010805,1,07051007,5,      65985,   1.5,   4.0,   6.2,  10.3,  11.7
2026070502010805,1,07051015,5,      68826,   1.5,   4.0,   6.1,  10.2,  11.6
2026070502010805,1,07051023,5,      70132,   1.5,   3.9,   6.0,  10.3,  11.5
2026070502010805,1,07051029,5,      72153,   1.5,   3.9,   5.9,  10.4,  11.2
2026070502010805,1,07051036,5,      74494,   1.5,   3.9,   6.0,  10.6,  11.3
2026070502010805,1,07051043,5,      76892,   1.5,   3.9,   5.9,  10.6,  11.3
2026070502010805,1,07051049,5,      78942,   1.5,   3.8,   5.9,  10.6,  11.3
2026070502010805,1,07051055,5,      81969,   1.5,   3.8,   5.9,  10.9,  11.4
2026070502010805,1,07051101,5,      84211,   1.5,   3.9,   5.9,  11.0,  11.5
2026070502010805,1,07051107,5,      88268,   1.5,   3.9,   5.9,  11.0,  11.6
2026070502010805,1,07051113,5,      91515,   1.5,   4.0,   5.9,  11.1,  11.7
2026070502010805,1,07051119,5,      99364,   1.4,   4.1,   6.1,  11.7,  12.0
2026070502010805,1,07051124,5,     109607,   1.4,   4.3,   5.7,  12.0,  12.4
2026070502010805,1,07051130,5,     118199,   1.5,   4.1,   5.4,  12.1,  12.0
2026070502010805,1,07051135,5,     125885,   1.5,   4.0,   5.2,  11.8,  11.8
2026070502010805,1,07051140,5,     143470,   1.5,   4.1,   5.2,  12.3,  11.8
2026070502010805,1,07051146,5,     167987,   1.5,   4.1,   5.1,  11.9,  11.0
2026070502010805,1,07051151,5,     205887,   1.5,   4.3,   5.3,  11.8,  10.6
2026070502010805,1,07051156,5,     254642,   1.5,   4.4,   5.1,  12.4,  10.6
2026070502010805,1,07051159,5,     297857,   1.4,   4.8,   5.3,  13.2,  11.0
2026070502010805,1,07051204,5,     398196,   1.4,   5.2,   5.2,  14.9,  10.0
2026070502010805,1,07051209,5,     711761,   1.3,   6.0,   6.1,  13.7,  10.0
2026070502010805,3,07051210,5,     718578,   1.3,   6.0,   6.1,  13.0,   9.7
2026070502010805,4,07051217,5,     718578,   1.3,   6.0,   6.1,  13.0,   9.7
