ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘
2026070402010705,1,07040424,5,       4016,   8.0,  12.3,   1.8,   4.2,   3.7
2026070402010705,1,07040432,5,       4055,   8.1,  12.3,   1.8,   4.3,   3.6
2026070402010705,1,07040441,5,       4073,   8.1,  12.3,   1.8,   4.2,   3.6
2026070402010705,1,07040449,5,       4102,   7.9,  12.3,   1.8,   4.3,   3.6
2026070402010705,1,07040457,5,       4183,   8.0,  12.5,   1.8,   4.3,   3.6
2026070402010705,1,07040505,5,       4199,   8.0,  12.6,   1.8,   4.3,   3.7
2026070402010705,1,07040514,5,       4213,   8.0,  12.6,   1.8,   4.3,   3.6
2026070402010705,1,07040522,5,       4232,   7.8,  12.7,   1.8,   4.3,   3.6
2026070402010705,1,07040530,5,       4263,   7.8,  12.7,   1.8,   4.3,   3.6
2026070402010705,1,07040538,5,       4417,   6.5,  13.1,   1.8,   4.4,   3.8
2026070402010705,1,07040547,5,       4458,   6.6,  13.1,   1.8,   4.4,   3.8
2026070402010705,1,07040555,5,       4477,   6.6,  13.2,   1.8,   4.4,   3.8
2026070402010705,1,07040603,5,       4527,   6.6,  13.2,   1.8,   4.3,   3.8
2026070402010705,1,07040611,5,       4549,   6.6,  13.2,   1.8,   4.3,   3.8
2026070402010705,1,07040620,5,       4599,   6.5,  13.3,   1.8,   4.3,   3.8
2026070402010705,1,07040628,5,       4625,   6.5,  13.4,   1.8,   4.3,   3.8
2026070402010705,1,07040636,5,       4746,   6.6,  13.7,   1.8,   4.3,   3.7
2026070402010705,1,07040644,5,       4793,   6.6,  13.7,   1.8,   4.4,   3.8
2026070402010705,1,07040653,5,       4953,   6.7,  13.6,   1.8,   4.4,   3.8
2026070402010705,1,07040701,5,       5004,   6.6,  13.5,   1.8,   4.4,   3.8
2026070402010705,1,07040710,5,       5196,   6.7,  13.4,   1.8,   4.4,   3.8
2026070402010705,1,07040719,5,       5584,   6.6,  13.9,   1.8,   4.4,   3.8
2026070402010705,1,07040729,5,       5920,   6.8,  14.1,   1.8,   4.4,   3.9
2026070402010705,1,07040738,5,       6286,   7.1,  14.8,   1.7,   4.4,   3.9
2026070402010705,1,07040747,5,       6647,   6.9,  14.9,   1.7,   4.3,   4.0
2026070402010705,1,07040756,5,       6970,   6.9,  14.7,   1.8,   4.3,   3.9
2026070402010705,1,07040805,5,       7258,   7.0,  14.7,   1.8,   4.2,   3.9
2026070402010705,1,07040814,5,       7461,   7.0,  13.9,   1.8,   4.2,   3.9
2026070402010705,1,07040824,5,       7758,   7.1,  14.1,   1.8,   4.2,   3.9
2026070402010705,1,07040833,5,       8166,   6.9,  14.3,   1.8,   4.3,   3.9
2026070402010705,1,07040842,5,       8542,   6.8,  14.2,   1.8,   4.3,   3.8
2026070402010705,1,07040851,5,       9021,   7.0,  14.8,   1.7,   4.3,   3.9
2026070402010705,1,07040900,5,       9325,   7.1,  14.9,   1.7,   4.3,   3.9
2026070402010705,1,07040909,5,       9866,   6.8,  14.6,   1.8,   4.4,   3.8
2026070402010705,1,07040919,5,      10527,   7.0,  14.9,   1.7,   4.4,   3.9
2026070402010705,1,07040928,5,      11048,   7.0,  15.2,   1.7,   4.4,   3.9
2026070402010705,1,07040937,5,      12056,   7.2,  13.1,   1.7,   4.4,   3.9
2026070402010705,1,07040946,5,      13196,   7.2,  12.9,   1.8,   4.3,   3.9
2026070402010705,1,07040955,5,      14344,   6.8,  12.0,   1.8,   4.4,   4.0
2026070402010705,1,07041003,5,      15136,   7.1,  12.3,   1.7,   4.5,   4.1
2026070402010705,1,07041012,5,      16721,   7.5,  12.6,   1.6,   4.8,   4.3
2026070402010705,1,07041020,5,      17958,   7.8,  13.3,   1.6,   4.9,   4.3
2026070402010705,1,07041027,5,      18672,   7.9,  13.5,   1.6,   4.9,   4.3
2026070402010705,1,07041035,5,      19485,   7.9,  13.9,   1.6,   5.0,   4.2
2026070402010705,1,07041043,5,      20399,   7.8,  13.9,   1.6,   5.0,   4.1
2026070402010705,1,07041049,5,      21511,   7.9,  14.0,   1.6,   5.1,   4.2
2026070402010705,1,07041056,5,      21952,   7.8,  13.9,   1.6,   5.1,   4.1
2026070402010705,1,07041103,5,      22748,   7.9,  14.2,   1.6,   5.1,   4.0
2026070402010705,1,07041110,5,      24150,   7.4,  13.3,   1.6,   5.1,   4.0
2026070402010705,1,07041116,5,      26065,   7.4,  13.9,   1.6,   5.3,   4.0
2026070402010705,1,07041122,5,      29659,   8.0,  15.2,   1.5,   5.7,   4.2
2026070402010705,1,07041127,5,      36921,   9.1,  17.7,   1.3,   6.6,   4.7
2026070402010705,1,07041132,5,      40041,   8.9,  17.9,   1.3,   6.6,   4.5
2026070402010705,1,07041137,5,      43586,   8.5,  18.1,   1.4,   6.5,   4.2
2026070402010705,1,07041142,5,      49281,   8.3,  18.4,   1.4,   6.8,   3.8
2026070402010705,1,07041147,5,      65689,   7.5,  19.1,   1.7,   6.7,   2.9
2026070402010705,1,07041152,5,      88580,   6.0,  22.8,   1.8,   7.4,   2.7
2026070402010705,1,07041157,5,     119117,   5.4,  23.8,   1.7,   7.7,   3.0
2026070402010705,1,07041159,5,     129142,   5.1,  23.8,   1.7,   7.5,   3.0
2026070402010705,1,07041204,5,     184610,   4.6,  24.5,   1.8,   7.2,   3.1
2026070402010705,1,07041209,5,     395055,   4.6,  33.5,   1.5,  10.1,   3.8
2026070402010705,3,07041210,5,     398045,   4.6,  33.7,   1.5,  10.2,   3.8
2026070402010705,4,07041216,5,     398045,   4.6,  33.7,   1.5,  10.2,   3.8
